Place Of Service,Service Type,Plan,Group Size,In Network,Is Covered,Date Of Service Min,Date Of Service Max,Covered in Full,Copay,Coinsurance
Outpatient,leadScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,leadScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,leadScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,leadScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,leadScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,leadScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,leadScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,maternityBirthCenters,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,maternityBirthCenters,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,maternityBirthCenters,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,maternityBirthCenters,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,maternityBirthCenters,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,maternityBirthCenters,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,maternityBirthCenters,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,maternityBirthCenters,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,medicalAbortion,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,medicalAbortion,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,medicalAbortion,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,medicalAbortion,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,medicalAbortion,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,medicalAbortion,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,medicalAbortion,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,medicalAbortion,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,medicationmanagement,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,medicationmanagement,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,medicationmanagement,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,medicationmanagement,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,medicationmanagement,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,medicationmanagement,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,medicationmanagement,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,medicationmanagement,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,mhSaLabScreening,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,mhSaLabScreening,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,mhSaLabScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,mhSaLabScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,mhSaLabScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,mhSaLabScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,mhSaLabScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,mhSaLabScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,mriMra,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,mriMra,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,mriMra,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,mriMra,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,mriMra,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,mriMra,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,mriMra,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,mriMra,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,neuropsychologicalTesting,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,neuropsychologicalTesting,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,neuropsychologicalTesting,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,neuropsychologicalTesting,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,neuropsychologicalTesting,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,neuropsychologicalTesting,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,neuropsychologicalTesting,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,neuropsychologicalTesting,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,newbornNursery,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,newbornNursery,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,newbornNursery,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,newbornNursery,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,newbornNursery,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,newbornNursery,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,newbornNursery,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,newbornNursery,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,nonRoutineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,nonRoutineGynExam,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,nonRoutineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,nonRoutineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,nonRoutineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,nonRoutineGynExam,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nonRoutineGynExam,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nonRoutineGynExam,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nonRoutineMammogram,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,nonRoutineMammogram,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nonRoutineMammogram,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,nonRoutineMammogram,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,nonRoutineMammogram,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nonRoutineMammogram,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nonRoutineMammogram,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nonRoutineMammogram,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nonRoutinePapSmear,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,nonRoutinePapSmear,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nonRoutinePapSmear,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,nonRoutinePapSmear,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,nonRoutinePapSmear,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nonRoutinePapSmear,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nonRoutinePapSmear,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nonRoutinePapSmear,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nuclearMedicine,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,nuclearMedicine,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nuclearMedicine,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,nuclearMedicine,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,nuclearMedicine,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nuclearMedicine,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nuclearMedicine,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nuclearMedicine,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,nutritionalCounseling,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,nutritionalCounseling,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,nutritionalCounseling,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,nutritionalCounseling,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,nutritionalCounseling,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,nutritionalCounseling,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,nutritionalCounseling,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,nutritionalCounseling,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,obstetricalServices,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,obstetricalServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,obstetricalServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,obstetricalServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,obstetricalServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,obstetricalServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,obstetricalServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,obstetricalServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,occupationalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,occupationalTherapy,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,occupationalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Outpatient,occupationalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,occupationalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,occupationalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,occupationalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,occupationalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opChemical,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,opChemical,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opChemical,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opChemical,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,opChemical,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opChemical,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,opChemical,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opChemical,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisFacility,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opDialysisFacility,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,opDialysisFacility,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,opDialysisFacility,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisFacility,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisPhysician,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,opDialysisPhysician,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,opDialysisPhysician,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisPhysician,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,opDialysisPhysician,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,opDialysisPhysician,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,opDialysisPhysician,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisPhysician,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opMentalHealth,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,opMentalHealth,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,opMentalHealth,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opMentalHealth,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opMentalHealth,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,organTransplant,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,organTransplant,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,organTransplant,PL100,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,organTransplant,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,organTransplant,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,organTransplant,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,organTransplant,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,organTransplant,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthotics,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,orthotics,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthotics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,orthotics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Office,orthotics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,orthotics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,orthotics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,orthotics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,orthoticShoeInserts,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,orthoticShoeInserts,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthoticShoeInserts,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,orthoticShoeInserts,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Office,orthoticShoeInserts,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,orthoticShoeInserts,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,orthoticShoeInserts,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,orthoticShoeInserts,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,painManagementServices,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,painManagementServices,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,painManagementServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,painManagementServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,painManagementServices,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,painManagementServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,painManagementServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,painManagementServices,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pcpVisit,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,pcpVisit,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,pcpVisit,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,pcpVisit,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,pcpVisit,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,pcpVisit,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,pcpVisit,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,pcpVisit,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,petScans,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,petScans,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,petScans,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,petScans,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,petScans,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,petScans,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,petScans,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,petScans,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,physicalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,physicalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,physicalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Outpatient,physicalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Office,physicalTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,physicalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,physicalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,physicalTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,preferredLab,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,preferredLab,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,preferredLab,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,preferredLab,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredLab,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredLab,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preferredLab,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredLab,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredRadiology,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preferredRadiology,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredRadiology,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,preferredRadiology,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredRadiology,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preferredRadiology,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preferredRadiology,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,preferredRadiology,PL100,L,N, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preNatalVisits,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,preNatalVisits,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,preNatalVisits,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,preNatalVisits,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,preNatalVisits,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,preNatalVisits,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,professionalcharges,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,professionalcharges,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,prostateCaScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prostateCaScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prostateCaScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,prostateCaScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,prostateCaScreening,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,prostateCaScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,prostateCaScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prostateCaScreening,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prosthetics,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,prosthetics,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,prosthetics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,prosthetics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Office,prosthetics,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,prosthetics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,prosthetics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prosthetics,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pulmonaryRehab,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,pulmonaryRehab,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,pulmonaryRehab,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,pulmonaryRehab,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,pulmonaryRehab,PL100,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,pulmonaryRehab,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,pulmonaryRehab,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,pulmonaryRehab,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,radiationTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,radiationTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,radiationTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Outpatient,radiationTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""30%""",N
Office,radiationTherapy,PL100,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Inpatient,radiationTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,radiationTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,radiationTherapy,PL100,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routineFootCare,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,routineFootCare,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,routineFootCare,PL100,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,routineFootCare,PL100,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,routineFootCare,PL100,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineFootCare,PL100,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,routineFootCare,PL100,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,routineFootCare,PL100,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineGynExam,PL100,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,routineGynExam,PL100,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineGynExam,PL100,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,routineGynExam,PL100,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
